﻿Douban URL,Douban Book Title,Goodreads URL,Goodreads Book Title
https://book.douban.com/subject/1017143/,不能承受的生命之轻,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being
https://book.douban.com/subject/1039752/,且听风吟,https://www.goodreads.com/book/show/226973.Hear_the_Wind_Sing,Hear the Wind Sing
https://book.douban.com/subject/4010196/,世界因你不同,https://www.goodreads.com/book/show/13037342-making-a-world-of-difference,Making a World of Difference
https://book.douban.com/subject/1291809/,世界尽头与冷酷仙境,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World,Hard-Boiled Wonderland and the End of the World
https://book.douban.com/subject/26957760/,世界的凛冬,https://www.goodreads.com/book/show/12959233-winter-of-the-world,Winter of the World
https://book.douban.com/subject/1827374/,东方快车谋杀案,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,Murder on the Orient Express
https://book.douban.com/subject/4874131/,东霓,https://www.goodreads.com/book/show/13638257,东霓
https://book.douban.com/subject/1003479/,中国历代政治得失,https://www.goodreads.com/book/show/20567233,中国历代政治得失
https://book.douban.com/subject/1021273/,中国哲学简史,https://www.goodreads.com/book/show/31907.A_Short_History_of_Chinese_Philosophy,A Short History of Chinese Philosophy
https://book.douban.com/subject/1015699/,中国大历史,https://www.goodreads.com/book/show/734666.China,China: A Macro History
https://book.douban.com/subject/1028409/,中国少年儿童百科全书（全四册）,https://www.goodreads.com/book/show/35638927-chinese-children-s-encyclopedia-4-vols-2017-classic-edition,Chinese Children's Encyclopedia (4 Vols) (2017 Classic Edition) 中国少年儿童百科全书-共4册2017经典版
https://book.douban.com/subject/1012611/,乌合之众,https://www.goodreads.com/book/show/25870624-the-crowd,The Crowd: Study of the Popular Mind
https://book.douban.com/subject/25984204/,乖，摸摸头,https://www.goodreads.com/book/show/24284236,乖，摸摸头
https://book.douban.com/subject/1321017/,九州·缥缈录,https://www.goodreads.com/book/show/25817863,九州·缥缈录
https://book.douban.com/subject/1431779/,九州·缥缈录Ⅱ·苍云古齿,https://www.goodreads.com/book/show/25817906,九州·缥缈录Ⅱ·苍云古齿
https://book.douban.com/subject/2253753/,九州·缥缈录Ⅲ·天下名将,https://www.goodreads.com/book/show/25817921,九州·缥缈录Ⅲ·天下名将
https://book.douban.com/subject/1795079/,乡土中国,https://www.goodreads.com/book/show/134293.From_the_Soil,From the Soil: The Foundations of Chinese Society
https://book.douban.com/subject/1388169/,乱马1/2,https://www.goodreads.com/book/show/23686.Ranma_Vol_1_Ranma_,"Ranma ½, Vol. 1 (Ranma ½"
https://book.douban.com/subject/1008988/,了不起的盖茨比,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby
https://book.douban.com/subject/1058234/,二三事,https://www.goodreads.com/book/show/57158718,二三事
https://book.douban.com/subject/26704403/,二手时间,https://www.goodreads.com/book/show/30200112-secondhand-time,Secondhand Time: The Last of the Soviets
https://book.douban.com/subject/2283084/,云中歌1,https://www.goodreads.com/book/show/23635384-1--,云中歌 1 - 绿罗裙
https://book.douban.com/subject/1391191/,京华烟云,https://www.goodreads.com/book/show/1320195.Moment_in_Peking,Moment in Peking
https://book.douban.com/subject/1088022/,亮剑,https://www.goodreads.com/book/show/39816158,亮剑
https://book.douban.com/subject/3369793/,亲爱的安德烈,https://www.goodreads.com/book/show/29974815,亲爱的安德烈
https://book.douban.com/subject/1056295/,人性的弱点全集,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People,How to Win Friends and Influence People
https://book.douban.com/subject/3803820/,人生,https://www.goodreads.com/book/show/42260689-life,Life
https://book.douban.com/subject/3261600/,人生的智慧,https://www.goodreads.com/book/show/21182.The_Wisdom_of_Life,The Wisdom of Life
